"count"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"1"	"Goodnight and goodbye"	"5695ca6c-69d1-4e48-9fee-76731a819da9"	"Metro Station"	"ab7ebf8c-059f-4071-93b1-dd3ae80d60b2"	"Goodnight and goodbye"	"5695ca6c-69d1-4e48-9fee-76731a819da9"	"Metro Station"	"ab7ebf8c-059f-4071-93b1-dd3ae80d60b2"	"The Questions We Ask At Night"	"84b3ddf3-7ce2-4456-aa87-a6d806e2747f"	"Metro Station"	"ab7ebf8c-059f-4071-93b1-dd3ae80d60b2"
"1"	"Cheeseburger In Paradise"	"838ff864-0641-4012-b2dd-d22e55b2cd4c"	"Jimmy Buffett"	"16fdd9af-467f-47ce-bd29-3413b445b90f"	"Cheeseburger In Paradise"	"838ff864-0641-4012-b2dd-d22e55b2cd4c"	"Jimmy Buffett"	"16fdd9af-467f-47ce-bd29-3413b445b90f"	"Son Of A Son Of A Sailor"	"d2ed8719-205f-3c4b-b797-2aa5f0d730a1"	"Jimmy Buffett"	"16fdd9af-467f-47ce-bd29-3413b445b90f"
"1"	"On Peak Hill"	"c8d22536-df7c-4ef7-a8b3-0c42d864e0be"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"On Peak Hill"	"c8d22536-df7c-4ef7-a8b3-0c42d864e0be"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"Nightsongs"	"58c26acd-a1b3-482d-a96a-347d69b221c4"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"
"1"	"Fantasy"	""	"DJ Satomi"	"05cffafb-a003-40a6-a837-1bd57d6a08af"	"Fantasy"	""	"DJ Satomi"	"05cffafb-a003-40a6-a837-1bd57d6a08af"	"Singles"	""	"DJ Satomi"	"05cffafb-a003-40a6-a837-1bd57d6a08af"
"1"	"Time of the Season"	"ab6127da-e7a4-4648-9948-dd2c7d93e5ce"	"The Zombies"	"230ca093-1d00-4c57-9235-147942f66930"	"Time of the Season"	"ab6127da-e7a4-4648-9948-dd2c7d93e5ce"	"The Zombies"	"230ca093-1d00-4c57-9235-147942f66930"	"Odessey and Oracle"	"afe13f04-48a7-4913-a23d-0f2f9d480187"	"The Zombies"	"230ca093-1d00-4c57-9235-147942f66930"
"1"	"Smile Heavy"	"049a0b89-e68b-45e6-9e2f-3d0655fe5486"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"	"Smile Heavy"	"049a0b89-e68b-45e6-9e2f-3d0655fe5486"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"	"Start A People"	"6a58315a-4c35-4ba2-bc69-34777c25fca5"	"Black Moth Super Rainbow"	"44e14e88-b17a-44d8-9e94-f3afa977239b"
"1"	"Love Lockdown"	"039d7ee8-d839-4762-91a0-d742ee8dfc15"	"Kanye West"	"164f0d73-1234-4e2c-8743-d77bf2191051"	"Love Lockdown"	"039d7ee8-d839-4762-91a0-d742ee8dfc15"	"Kanye West"	"164f0d73-1234-4e2c-8743-d77bf2191051"	"808s & Heartbreak"	"af8fdbd3-dc27-469d-89bf-9167514b3f5e"	"Kanye West"	"164f0d73-1234-4e2c-8743-d77bf2191051"
"1"	"The First Five Times (The Russian Futurists)"	""	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"The First Five Times (The Russian Futurists)"	""	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"Do Your Trust Your Friends?"	""	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"
"1"	"No Air (feat. Chris Brown)"	""	"Jordin Sparks"	"1aad6fdc-f5a1-45f9-87b5-4683b3e32966"	"No Air (feat. Chris Brown)"	""	"Jordin Sparks"	"1aad6fdc-f5a1-45f9-87b5-4683b3e32966"	"Jordin Sparks"	"2263a265-1f9b-470f-8639-4d8492794746"	"Jordin Sparks"	"1aad6fdc-f5a1-45f9-87b5-4683b3e32966"
"1"	"One Step at a Time"	"04768135-5557-453e-9739-0e81b6784dfb"	"Jordin Sparks"	"1aad6fdc-f5a1-45f9-87b5-4683b3e32966"	"One Step at a Time"	"04768135-5557-453e-9739-0e81b6784dfb"	"Jordin Sparks"	"1aad6fdc-f5a1-45f9-87b5-4683b3e32966"	"Jordin Sparks"	"2263a265-1f9b-470f-8639-4d8492794746"	"Jordin Sparks"	"1aad6fdc-f5a1-45f9-87b5-4683b3e32966"
